state_code_match,state_name_match,state_code,county_name,county_code,ssa
2,AK,1,AUTAUGA,0,1000
1,AL,1,BALDWIN,10,1010
4,AR,1,BARBOUR,20,1020
3,AZ,1,BIBB,30,1030
5,CA,1,BLOUNT,40,1040
6,CO,1,BULLOCK,50,1050
7,CT,1,BUTLER,60,1060
8,DE,1,CALHOUN,70,1070
10,FL,1,CHAMBERS,80,1080
11,GA,1,CHEROKEE,90,1090
12,HI,1,CHILTON,100,1100
16,IA,1,CHOCTAW,110,1110
13,ID,1,CLARKE,120,1120
14,IL,1,CLAY,130,1130
15,IN,1,CLEBURNE,140,1140
17,KS,1,COFFEE,150,1150
18,KY,1,COLBERT,160,1160
19,LA,1,CONECUH,170,1170
22,MA,1,COOSA,180,1180
21,MD,1,COVINGTON,190,1190
20,ME,1,CRENSHAW,200,1200
23,MI,1,CULLMAN,210,1210
24,MN,1,DALE,220,1220
26,MO,1,DALLAS,230,1230
25,MS,1,DE KALB,240,1240
27,MT,1,ELMORE,250,1250
34,NC,1,ESCAMBIA,260,1260
35,ND,1,ETOWAH,270,1270
28,NE,1,FAYETTE,280,1280
30,NH,1,FRANKLIN,290,1290
31,NJ,1,GENEVA,300,1300
32,NM,1,GREENE,310,1310
29,NV,1,HALE,320,1320
33,NY,1,HENRY,330,1330
36,OH,1,HOUSTON,340,1340
37,OK,1,JACKSON,350,1350
38,OR,1,JEFFERSON,360,1360
39,PA,1,LAMAR,370,1370
41,RI,1,LAUDERDALE,380,1380
42,SC,1,LAWRENCE,390,1390
43,SD,1,LEE,400,1400
44,TN,1,LIMESTONE,410,1410
45,TX,1,LOWNDES,420,1420
46,UT,1,MACON,430,1430
49,VA,1,MADISON,440,1440
47,VT,1,MARENGO,450,1450
50,WA,1,MARION,460,1460
52,WI,1,MARSHALL,470,1470
51,WV,1,MOBILE,480,1480
53,WY,1,MONROE,490,1490
9,DC (Washington D.C.),1,MONTGOMERY,500,1500
40,PR (Puerto Rico),1,MORGAN,510,1510
,,1,PERRY,520,1520
,,1,PICKENS,530,1530
,,1,PIKE,540,1540
,,1,RANDOLPH,550,1550
,,1,RUSSELL,560,1560
,,1,ST. CLAIR,570,1570
,,1,SHELBY,580,1580
,,1,SUMTER,590,1590
,,1,TALLADEGA,600,1600
,,1,TALLAPOOSA,610,1610
,,1,TUSCALOOSA,620,1620
,,1,WALKER,630,1630
,,1,WASHINGTON,640,1640
,,1,WILCOX,650,1650
,,1,WINSTON,660,1660
,,1,STATEWIDE,999,1999
,,2,ALEUTIANS EAST,13,2013
,,2,ALEUTIANS WEST,16,2016
,,2,ANCHORAGE,20,2020
,,2,ANGOON,30,2030
,,2,BARROW-NORTH SLOPE,40,2040
,,2,BETHEL,50,2050
,,2,BRISTOL BAY BOROUGH,60,2060
,,2,DENALI,68,2068
,,2,DILLINGHAM,70,2070
,,2,CORDOVA-MCCARTHY,80,2080
,,2,FAIRBANKS NORTH STAR,90,2090
,,2,HAINES,100,2100
,,2,JUNEAU,110,2110
,,2,KENAI-COOK INLET,120,2120
,,2,KENAI PENINSULA,122,2122
,,2,KETCHIKAN GATEWAY,130,2130
,,2,KOBUK,140,2140
,,2,KODIAK ISLAND BOROUGH,150,2150
,,2,KSUKOKWIN,160,2160
,,2,LAKE AND PENINSULA,164,2164
,,2,MATANUSKA-SUSITNA,170,2170
,,2,NOME,180,2180
,,2,NORTH SLOPE BOROUH,185,2185
,,2,NORTHWEST ARTIC BOROUGH,188,2188
,,2,OUTER KETCHIKAN,190,2190
,,2,PR.OF WALES,200,2200
,,2,PR.OF WALES-OUT.KETCHIKAN,201,2201
,,2,SEWARD,210,2210
,,2,SITKA BOROUGH,220,2220
,,2,SKAGWAY-YAKUTAT,230,2230
,,2,SKAGWAY-YAKUTAT-ANGOON,231,2231
,,2,SKAGWAY-HOONAH-ANGOON,232,2232
,,2,SOUTHEAST FAIRBANKS,240,2240
,,2,UPPER YUKON,250,2250
,,2,VALDEZ-CHITNA-WHITTIER,260,2260
,,2,VALDEZ-CORDOVA,261,2261
,,2,WADE HAMPTON,270,2270
,,2,WRANGELL-PETERSBURG,280,2280
,,2,YAKUTAT BOROUGH,282,2282
,,2,YUKON-KOYUKUK,290,2290
,,2,STATEWIDE,999,2999
,,3,APACHE,0,3000
,,3,COCHISE,10,3010
,,3,COCONINO,20,3020
,,3,GILA,30,3030
,,3,GRAHAM,40,3040
,,3,GREENLEE,50,3050
,,3,LAPAZ,55,3055
