SSA,STATE,COUNTY,FIPS
1000,AL,Autauga County,1001
1010,AL,Baldwin County,1003
1020,AL,Barbour County,1005
1030,AL,Bibb County,1007
1040,AL,Blount County,1009
1050,AL,Bullock County,1011
1060,AL,Butler County,1013
1070,AL,Calhoun County,1015
1080,AL,Chambers County,1017
1090,AL,Cherokee County,1019
1100,AL,Chilton County,1021
1110,AL,Choctaw County,1023
1120,AL,Clarke County,1025
1130,AL,Clay County,1027
1140,AL,Cleburne County,1029
1150,AL,Coffee County,1031
1160,AL,Colbert County,1033
1170,AL,Conecuh County,1035
1180,AL,Coosa County,1037
1190,AL,Covington County,1039
1200,AL,Crenshaw County,1041
1210,AL,Cullman County,1043
1220,AL,Dale County,1045
1230,AL,Dallas County,1047
1240,AL,DeKalb County,1049
1250,AL,Elmore County,1051
1260,AL,Escambia County,1053
1270,AL,Etowah County,1055
1280,AL,Fayette County,1057
1290,AL,Franklin County,1059
1300,AL,Geneva County,1061
1310,AL,Greene County,1063
1320,AL,Hale County,1065
1330,AL,Henry County,1067
1340,AL,Houston County,1069
1350,AL,Jackson County,1071
1360,AL,Jefferson County,1073
1370,AL,Lamar County,1075
1380,AL,Lauderdale County,1077
1390,AL,Lawrence County,1079
1400,AL,Lee County,1081
1410,AL,Limestone County,1083
1420,AL,Lowndes County,1085
1430,AL,Macon County,1087
1440,AL,Madison County,1089
1450,AL,Marengo County,1091
1460,AL,Marion County,1093
1470,AL,Marshall County,1095
1480,AL,Mobile County,1097
1490,AL,Monroe County,1099
1500,AL,Montgomery County,1101
1510,AL,Morgan County,1103
1520,AL,Perry County,1105
1530,AL,Pickens County,1107
1540,AL,Pike County,1109
1550,AL,Randolph County,1111
1560,AL,Russell County,1113
1570,AL,St. Clair County,1115
1580,AL,Shelby County,1117
1590,AL,Sumter County,1119
1600,AL,Talladega County,1121
1610,AL,Tallapoosa County,1123
1620,AL,Tuscaloosa County,1125
1630,AL,Walker County,1127
1640,AL,Washington County,1129
1650,AL,Wilcox County,1131
1660,AL,Winston County,1133
2013,AK,Aleutians East Borough,2013
2016,AK,Aleutians West Census Area,2016
2020,AK,Anchorage Municipality,2020
2050,AK,Bethel Census Area,2050
2060,AK,Bristol Bay Borough,2060
2068,AK,Denali Borough,2068
2070,AK,Dillingham Census Area,2070
2090,AK,Fairbanks North Star Borough,2090
2100,AK,Haines Borough,2100
2110,AK,Juneau City and Borough,2110
2122,AK,Kenai Peninsula Borough,2122
2130,AK,Ketchikan Gateway Borough,2130
2150,AK,Kodiak Island Borough,2150
2164,AK,Lake and Peninsula Borough,2164
2170,AK,Matanuska-Susitna Borough,2170
2180,AK,Nome Census Area,2180
2185,AK,North Slope Borough,2185
2188,AK,Northwest Arctic Borough,2188
2200,AK,Prince of Wales-Hyder Census Area,2200
2201,AK,Prince of Wales-Hyder Census Area,2201
2210,AK,Kenai Peninsula Borough,2210
2220,AK,Sitka City and Borough,2220
2230,AK,Yakutat City and Borough,2230
2231,AK,Yakutat City and Borough,2231
3000,AZ,Apache County,4001
3010,AZ,Cochise County,4003
3020,AZ,Coconino County,4005
3030,AZ,Gila County,4007
3040,AZ,Graham County,4009
3050,AZ,Greenlee County,4011
3055,AZ,La Paz County,4012
3060,AZ,Maricopa County,4013
3070,AZ,Mohave County,4015
3080,AZ,Navajo County,4017
3090,AZ,Pima County,4019
3100,AZ,Pinal County,4021
3110,AZ,Santa Cruz County,4023
3120,AZ,Yavapai County,4025
3130,AZ,Yuma County,4027
4000,AR,Arkansas County,5001
4010,AR,Ashley County,5003
4020,AR,Baxter County,5005
4030,AR,Benton County,5007
4040,AR,Boone County,5009
4050,AR,Bradley County,5011
4060,AR,Calhoun County,5013
4070,AR,Carroll County,5015
4080,AR,Chicot County,5017
4090,AR,Clark County,5019
4100,AR,Clay County,5021
4110,AR,Cleburne County,5023
4120,AR,Cleveland County,5025
4130,AR,Columbia County,5027
4140,AR,Conway County,5029
4150,AR,Craighead County,5031
4160,AR,Crawford County,5033
4170,AR,Crittenden County,5035
4180,AR,Cross County,5037
4190,AR,Dallas County,5039
4200,AR,Desha County,5041
4210,AR,Drew County,5043
4220,AR,Faulkner County,5045
4230,AR,Franklin County,5047
4240,AR,Fulton County,5049
4250,AR,Garland County,5051
4260,AR,Grant County,5053
4270,AR,Greene County,5055
4280,AR,Hempstead County,5057
4290,AR,Hot Spring County,5059
4300,AR,Howard County,5061
4310,AR,Independence County,5063
4320,AR,Izard County,5065
4330,AR,Jackson County,5067
4340,AR,Jefferson County,5069
4350,AR,Johnson County,5071
4360,AR,Lafayette County,5073
4370,AR,Lawrence County,5075
4380,AR,Lee County,5077
4390,AR,Lincoln County,5079
4400,AR,Little River County,5081
4410,AR,Logan County,5083
4420,AR,Lonoke County,5085
4430,AR,Madison County,5087
4440,AR,Marion County,5089
4450,AR,Miller County,5091
4460,AR,Mississippi County,5093
4470,AR,Monroe County,5095
4480,AR,Montgomery County,5097
4490,AR,Nevada County,5099
4500,AR,Newton County,5101
4510,AR,Ouachita County,5103
4520,AR,Perry County,5105
4530,AR,Phillips County,5107
4540,AR,Pike County,5109
4550,AR,Poinsett County,5111
4560,AR,Polk County,5113
4570,AR,Pope County,5115
4580,AR,Prairie County,5117
4590,AR,Pulaski County,5119
4600,AR,Randolph County,5121
4610,AR,St. Francis County,5123
4620,AR,Saline County,5125
4630,AR,Scott County,5127
4640,AR,Searcy County,5129
4650,AR,Sebastian County,5131
4660,AR,Sevier County,5133
4670,AR,Sharp County,5135
4680,AR,Stone County,5137
4690,AR,Union County,5139
4700,AR,Van Buren County,5141
4710,AR,Washington County,5143
4720,AR,White County,5145
4730,AR,Woodruff County,5147
4740,AR,Yell County,5149
5000,CA,Alameda County,6001
5010,CA,Alpine County,6003
5020,CA,Amador County,6005
5030,CA,Butte County,6007
5040,CA,Calaveras County,6009
5050,CA,Colusa County,6011
5060,CA,Contra Costa County,6013
5070,CA,Del Norte County,6015
5080,CA,El Dorado County,6017
5090,CA,Fresno County,6019
5100,CA,Glenn County,6021
5110,CA,Humboldt County,6023
5120,CA,Imperial County,6025
5130,CA,Inyo County,6027
5140,CA,Kern County,6029
5150,CA,Kings County,6031
5160,CA,Lake County,6033
5170,CA,Lassen County,6035
5200,CA,Los Angeles County,6037
5300,CA,Madera County,6039
5310,CA,Marin County,6041
5320,CA,Mariposa County,6043
5330,CA,Mendocino County,6045
5340,CA,Merced County,6047
5350,CA,Modoc County,6049
5360,CA,Mono County,6051
5370,CA,Monterey County,6053
5380,CA,Napa County,6055
5390,CA,Nevada County,6057
5400,CA,Orange County,6059
5410,CA,Placer County,6061
5420,CA,Plumas County,6063
5430,CA,Riverside County,6065
5440,CA,Sacramento County,6067
5450,CA,San Benito County,6069
5460,CA,San Bernardino County,6071
5470,CA,San Diego County,6073
5480,CA,San Francisco County,6075
5490,CA,San Joaquin County,6077
5500,CA,San Luis Obispo County,6079
5510,CA,San Mateo County,6081
5520,CA,Santa Barbara County,6083
5530,CA,Santa Clara County,6085
